CGDID	geneID	logFC	logCPM	PValue	FDR	protAlbicans	albGeneName	function	A19ID	GeneName
C1_00060W_A	B9J08_001265	-0.012296805317794384	7.976376358356869	0.9129131182426021	0.9824209411701679	C1_00060W_A-T-p1	C1_00060W_A	Transcriptional repressor TUP1 [Source:UniProtKB/Swiss-Prot;Acc:P0CY34]	orf19.6109	TUP1
C1_00070W_A	B9J08_001266	0.011267237933690045	7.269598061372217	0.9194216180044699	0.9846069844321415	C1_00070W_A-T-p1	C1_00070W_A	Diphosphomevalonate decarboxylase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC43]	orf19.6105	MVD
C1_00080C_A	B9J08_001270	-0.22022181740580413	6.426957353666812	0.08268841020070772	0.39428396016236417	C1_00080C_A-T-p1	C1_00080C_A	BZIP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB69]	orf19.6102	RCA1
C1_00090W_A	B9J08_001269	-0.2824831997257097	5.298190023900008	0.07333278982382067	0.370434394447096	C1_00090W_A-T-p1	C1_00090W_A	Peroxin/Ferlin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB70]	orf19.6103	NA
C1_00100C_A	B9J08_001267	-0.08072004338777945	5.849571625474427	0.5565643006482618	0.856087164882586	C1_00100C_A-T-p1	C1_00100C_A	Cardiolipin synthase [Source:UniProtKB/TrEMBL;Acc:Q5AB72]	orf19.6100	NA
C1_00110W_A	B9J08_001271	0.012937429711109623	8.459051586822286	0.9032350718384876	0.9800648297276625	C1_00110W_A-T-p1	C1_00110W_A	CCT-theta [Source:UniProtKB/TrEMBL;Acc:Q5AB74]	orf19.6099	CCT8
C1_00120C_A	B9J08_001272	-0.04130216902887417	6.456937844276881	0.7560646652210412	0.9379836805047179	C1_00120C_A-T-p1	C1_00120C_A	N-(5'-phosphoribosyl)anthranilate isomerase [Source:UniProtKB/Swiss-Prot;Acc:P43073]	orf19.6096	TRP1
C1_00130C_A	B9J08_001273	-0.19557988404875812	5.881148843828236	0.09533903497848184	0.41905196922996635	C1_00130C_A-T-p1	C1_00130C_A	Vps53_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB78]	orf19.6094	VPS53
C1_00140W_A	B9J08_001274	-0.1774709047436036	7.255142760861614	0.2350810668301984	0.6212939933659923	C1_00140W_A-T-p1	C1_00140W_A	Kel1p [Source:UniProtKB/TrEMBL;Acc:Q5AB80]	orf19.6092	KEL1
C1_00150C_A	B9J08_001275	-0.2858501334145407	7.019337633538922	0.00930743181944531	0.148536442782077	C1_00150C_A-T-p1	C1_00150C_A	pH-response regulator protein palF/RIM8 [Source:UniProtKB/Swiss-Prot;Acc:Q9UW13]	orf19.6091	RIM8
C1_00160C_A	B9J08_001276	0.47290813646518876	7.4267028821978895	0.0064830947566635365	0.1205358662772008	C1_00160C_A-T-p1	C1_00160C_A	Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis, repressed by nitric oxide, required for flow model biofilm formation, Spider biofilm repressed	orf19.6090	NA
C1_00170W_A	B9J08_001277	0.0521751608812398	7.672835171650773	0.6721566989339414	0.9050285504697227	C1_00170W_A-T-p1	C1_00170W_A	Pyruvate carboxyltransferase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AB86]	orf19.6086	LEU4
C1_00180W_A	B9J08_001278	0.11286907987670823	11.611450251917146	0.32300259870724185	0.7014918525057408	C1_00180W_A-T-p1	C1_00180W_A	Ribosomal 60S subunit protein L16A [Source:UniProtKB/TrEMBL;Acc:Q5AB87]	orf19.6085	RPL16A
C1_00190C_A	B9J08_004179	0.13747463378445432	3.7364609585866067	0.5046600375229318	0.8248775703750038	C1_00190C_A-T-p1	C1_00190C_A	Protein of unknown function, flow model biofilm induced, Spider biofilm induced	orf19.6084	NA
C1_00210C_A	B9J08_000383	0.09573351152268311	8.498596969166385	0.4170655935479753	0.7746065171722325	C1_00210C_A-T-p1	C1_00210C_A	Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral component of endoplasmic reticulum membrane localization	orf19.6082	NA
C1_00220W_A	B9J08_000384	0.05221692903324804	11.312413190471318	0.7257764694516272	0.9279422726985935	C1_00220W_A-T-p1	C1_00220W_A	pH-responsive protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O13318]	orf19.6081	PHR2
C1_00230C_A	B9J08_000385	-0.27898307770386815	5.713517794419792	0.053615551352460745	0.3236341425528626	C1_00230C_A-T-p1	C1_00230C_A	Bfa1p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC67]	orf19.6080	BFA1
C1_00310W_A	B9J08_002588	0.008295639483411714	7.531214773838015	0.9579721595382669	0.9910163494936162	C1_00310W_A-T-p1	C1_00310W_A	Protein PNS1 [Source:UniProtKB/Swiss-Prot;Acc:Q5AB93]	orf19.6077	NA
C1_00320W_A	B9J08_002589	-0.24527411689237477	5.631782935206929	0.05050618766677099	0.3163157481101995	C1_00320W_A-T-p1	C1_00320W_A	Vacuolar protein sorting-associated protein 29 [Source:UniProtKB/TrEMBL;Acc:Q5AB94]	orf19.6076	NA
C1_00330C_A	B9J08_002590	-0.02623686057751902	5.783571948122766	0.8329847826804803	0.9586500551444282	C1_00330C_A-T-p1	C1_00330C_A	NOT2_3_5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC71]	orf19.6075	NA
C1_00340W_A	B9J08_004153	0.2122947734951401	6.790614999485995	0.1955243000905328	0.5786156907726955	C1_00340W_A-T-p1	C1_00340W_A	Adenylate kinase isoenzyme 6 homolog HBR1 [Source:UniProtKB/Swiss-Prot;Acc:Q8TG40]	orf19.6074	HBR1
C1_00350C_A	B9J08_004152	0.3822357060252827	6.27068343701631	0.0041354444623024076	0.08925151031212461	C1_00350C_A-T-p1	C1_00350C_A	Hmx1p [Source:UniProtKB/TrEMBL;Acc:Q5AB97]	orf19.6073	HMX1
C1_00370W_A	B9J08_002175	0.03537683488404859	5.1700619144865225	0.8035606312830753	0.9519981191222225	C1_00370W_A-T-p1	C1_00370W_A	(orf19.6072.1) Protein of unknown function	orf19.6072.1	NA
C1_00380C_A	B9J08_002174	0.019698513518152105	7.256845664975577	0.8612319614356562	0.9674511072047886	C1_00380C_A-T-p1	C1_00380C_A	Ortholog(s) have peptide alpha-N-acetyltransferase activity and role in N-terminal peptidyl-methionine acetylation, cytoskeleton organization, mitochondrion inheritance, regulation of actin cytoskeleton organization	orf19.6071	NAA25
C1_00390W_A	B9J08_002173	-0.8264679344671465	4.284374410882801	1.8085024998265066e-4	0.01304076937712735	C1_00390W_A-T-p1	C1_00390W_A	Cation_ATPase_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABA1]	orf19.6070	ENA2
C1_00390W_A	B9J08_000969	0.11499201541705274	7.306904022221441	0.3186139389428895	0.6989448373981157	C1_00390W_A-T-p1	C1_00390W_A	Cation_ATPase_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5ABA1]	orf19.6070	ENA2
C1_00400W_A	B9J08_000654	-0.15634974263924573	8.32202529064859	0.13960512988019474	0.49646761124183025	C1_00400W_A-T-p1	C1_00400W_A	Survival factor 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5ABA2]	orf19.6068	SVF1
C1_00410C_A	B9J08_003167	-0.2627479833367505	7.63682837275366	0.014260002815105689	0.17947195814595956	C1_00410C_A-T-p1	C1_00410C_A	Aldehyde dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PC76]	orf19.6066	NA
