protAlbicans,geneID,protAuris,start,end,ANNOT_GENE_NAME,function,length,Ident,Align,Mismatches,Gaps,qStart,qEnd,sStart,sEnd,EValue,Score,qCover,ANNOT_GENE_ENTREZ_ID
C1_12050W_A-T-p1,B9J08_005582,PIS48126.1,199,398,C1_12050W_A,26S proteasome regulatory subunit RPN2 [Source:UniProtKB/TrEMBL;Acc:Q5A3L0],952,34.7,101,54,2,7,106,788,877,4.55e-09,50.8,83.3,
C1_10180C_A-T-p1,B9J08_005583,PIS48127.1,5258,6036,C1_10180C_A,Arrestin_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PET4],728,65.3,190,64,2,210,397,364,553,4.83e-75,255,25.0,
C1_08880W_A-T-p1,B9J08_005584,PIS48128.1,7349,7726,C1_08880W_A,Protoporphyrinogen oxidase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PEF0],531,48.0,125,58,4,1,123,411,530,1.67e-29,108,98.4,
C4_03750C_A-T-p1,B9J08_005585,PIS48129.1,8301,8789,C4_03750C_A,RF_PROK_I domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PLX1],394,78.8,113,24,0,14,126,229,341,1.20e-54,175,69.8,
C4_03770W_A-T-p1,B9J08_005587,PIS48131.1,9469,9786,C4_03770W_A,Ortholog(s) have protein-macromolecule adaptor activity and role in proteasome regulatory particle assembly,164,36.3,91,49,2,11,92,12,102,7.18e-06,40.4,78.1,
C4_05300W_A-T-p1,B9J08_005578,PIS48134.1,2,736,C4_05300W_A,Xylulokinase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PMB3],616,59.7,236,92,3,9,243,10,243,1.62e-87,269,95.9,
C4_05130C_A-T-p1,B9J08_005580,PIS48136.1,5089,6732,C4_05130C_A,Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [Source:UniProtKB/TrEMBL;Acc:A0A1D8PM94],541,76.6,530,120,3,22,547,12,541,1.36e-294,806,96.2,
C4_05140C_A-T-p1,B9J08_005581,PIS48137.1,7368,11792,C4_05140C_A,4-alpha-glucanotransferase [Source:UniProtKB/TrEMBL;Acc:Q59MN2],1527,66.6,1483,482,8,2,1471,45,1527,0.0,2076,99.7,
C1_02120C_A-T-p1,B9J08_005567,PIS48142.1,2756,4045,C1_02120C_A,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59VY9],595,50.9,411,159,9,20,390,50,457,4.45e-136,401,86.5,
C1_01980W_A-T-p1,B9J08_005568,PIS48143.1,6475,8160,C1_01980W_A,High-affinity glucose transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:A0A1D8PCL1],545,66.5,538,178,1,4,541,3,538,2.68e-261,723,95.9,
C2_07410W_A-T-p1,B9J08_005569,PIS48144.1,8670,10034,C2_07410W_A,Hydrolase_4 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q59U61],488,51.2,488,197,8,2,454,1,482,1.90e-173,493,99.8,
CR_01220W_A-T-p1,B9J08_005570,PIS48145.1,10617,12098,CR_01220W_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A896],521,30.4,477,315,8,2,472,38,503,2.84e-71,233,95.5,
CR_01220W_A-T-p1,B9J08_005571,PIS48146.1,13367,14851,CR_01220W_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A896],521,31.5,467,305,8,29,492,65,519,4.80e-74,241,93.9,
CR_01220W_A-T-p1,B9J08_005572,PIS48147.1,15604,17145,CR_01220W_A,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A896],521,34.1,437,278,6,47,481,64,492,1.48e-74,243,84.8,
C4_06920C_A-T-p1,B9J08_005545,PIS48157.1,2039,2731,C4_06920C_A,Secreted hemophore CSA2 [Source:UniProtKB/Swiss-Prot;Acc:Q5A0X8],147,57.1,119,51,0,7,125,23,141,1.04e-45,147,51.7,
C6_03600C_A-T-p1,B9J08_005548,PIS48160.1,7968,9506,C6_03600C_A,"Putative cytochrome P450, Spider biofilm induced",526,44.2,477,253,4,37,506,51,521,3.33e-136,402,91.8,
C6_03470W_A-T-p1,B9J08_005552,PIS48163.1,22740,24047,C6_03470W_A,CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PQ60],621,45.6,320,173,1,109,427,295,614,3.50e-92,289,73.3,
C1_06860W_A-T-p1,B9J08_005553,PIS48164.1,26146,27108,C1_06860W_A,"RTA domain protein, predicted role in response to stress, Spider biofilm induced",497,23.8,231,143,5,62,260,154,383,1.50e-05,44.3,62.2,
C1_06860W_A-T-p1,B9J08_005554,PIS48165.1,28753,29673,C1_06860W_A,"RTA domain protein, predicted role in response to stress, Spider biofilm induced",497,27.2,250,150,5,47,265,137,385,3.69e-15,73.6,71.6,
C3_05580C_A-T-p1,B9J08_005564,PIS48175.1,48797,50563,C3_05580C_A,General amino-acid permease GAP2 [Source:UniProtKB/Swiss-Prot;Acc:A0A1D8PK89],588,64.8,588,202,4,4,588,3,588,3.52e-272,753,99.5,
C1_05300C_A-T-p1,B9J08_005565,PIS48176.1,55065,57107,C1_05300C_A,Peptidase_M3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A2A7],702,40.2,665,389,6,18,676,39,700,3.61e-173,509,96.9,
C7_02180C_A-T-p1,B9J08_005535,PIS48181.1,1259,1798,C7_02180C_A,Trs33p [Source:UniProtKB/TrEMBL;Acc:Q5AH42],212,67.5,166,51,2,15,179,49,212,2.54e-80,235,92.2,
C7_02170C_A-T-p1,B9J08_005536,PIS48182.1,5501,6436,C7_02170C_A,Iwr1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AH41],342,41.2,340,158,10,5,309,5,337,8.00e-56,182,98.1,
C7_02130W_A-T-p1,B9J08_005537,PIS48183.1,6786,7124,C7_02130W_A,Short-chain dehydrogenase/reductase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PR28],345,62.5,104,39,0,8,111,86,189,5.08e-35,120,92.9,
C7_02150C_A-T-p1,B9J08_005539,PIS48185.1,9049,10023,C7_02150C_A,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q5AH38]",439,74.2,325,83,1,1,324,115,439,3.27e-167,470,100,
C7_02120C_A-T-p1,B9J08_005540,PIS48186.1,11044,11484,C7_02120C_A,L51_S25_CI-B8 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5AH35],153,33.9,127,80,3,18,140,21,147,9.65e-23,85.9,84.2,
C7_02110W_A-T-p1,B9J08_005541,PIS48187.1,11620,13545,C7_02110W_A,PHD-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PR21],688,39.0,644,321,16,24,641,91,688,3.20e-123,379,96.4,
C7_02100W_A-T-p1,B9J08_005542,PIS48188.1,14851,15801,C7_02100W_A,Peptidase_M24 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PR11],387,58.1,360,138,2,13,359,12,371,4.06e-149,425,90.8,
